Category,SSC,Railways,Defence,LIC,NIACL,SBI,IBPS,RBI,Teacher Eligibility Test,State Eligibility Test,PSC
Sub.Category,Upper Division Clerk (UDC),Assistant Loco Pilot (ALP),Border Security Force (BSF),LIC ADO,NIACL AO,SBI PO,IBPS PO,RBI Officer Grade B,Odisha TET,Gujarat SET,UPSC Combined Geo-Scientist
Sub.Category,Lower Division Clerk (LDC),Railway Group D (Group D),Central Reserve Police Force (CRPF),LIC AAO,NIACL Assistant,SBI SO,IBPS Specialist Officers,RBI Assistant,Manipur TET,Kerala SET,UPSC Accounts Officer
Sub.Category,Postal Assistant (PA),Station Master,Sashastra Seema Bal (SSB),LIC HFL,,SBI Clerk,IBPS CWE,,Telangana TET,MH SET,UPSC Civil Services
Sub.Category,Sorting Assistant (SA),Assistant Station Master(ASM),Indo-Tibetan Border Police Force (ITBP),,,,IBPS RRB CWE,,Jharkhand TET,TN TET,UPSC IES ISS
Sub.Category,Data Entry Operator (DEO),Senior Commercial Ticket Clerk,Central Industrial Security Force (CISF),,,,,,Mizoram TET,,UPSC IFS
Sub.Category,Combined Higher Secondary Level (SSC CHSL),Junior Accunt Assistant cum Typist,,,,,,,Meghalaya TET,,UPSC CAPF
Sub.Category,SSC Multi Tasking Staff (SSC MTS),Traffic Assistant,,,,,,,Bihar TET,,UPSC ESE
Sub.Category,SSC General Duty Constable (SSC GD Exam),Trains Clerk,,,,,,,,,BPSC
Sub.Category,SSC Stenographer,Goods Guard,,,,,,,,,NPSC
Sub.Category,SSC JHT,Commercial Apprentice,,,,,,,,,Mizoram PSC
Sub.Category,BSSC,Senior Clerk cum Typist,,,,,,,,,PPSC
Sub.Category,OSSC,Senior Time Keeper,,,,,,,,,JPSC
Sub.Category,JSSC,Ticket Checker(TC),,,,,,,,,Meghalaya PSC
Sub.Category,UPSSSC,,,,,,,,,,Kerala PSC
Sub.Category,HSSC,,,,,,,,,,JKPSC
Sub.Category,,,,,,,,,,,TSPSC
Sub.Category,,,,,,,,,,,TNPSC
Sub.Category,,,,,,,,,,,MPPSC
Sub.Category,,,,,,,,,,,RPSC
Sub.Category,,,,,,,,,,,JPSC
Sub.Category,,,,,,,,,,,OPSC
Sub.Category,,,,,,,,,,,HPPSC
Sub.Category,,,,,,,,,,,APPSC