Subjects,Hindi,Maths,English,Physics,Computer (hindi),Sports,Indian Geography,Banking
Topic,संज्ञा,अनुपात तथा समानुपात,Synonyms,यांत्रिकी,कंप्यूटर - सामान्य परिचय,हॉकी / शतरंज,वन क्षेत्र एवं पर्यावरण,
Topic,सर्वनाम,आयु संबंधित प्रश्न,Antonyms,ऊष्मा,कंप्यूटर का विकास,"बास्केटबाल/वॉलीबाल, बिलियर्ड्स/स्नूकर",राष्ट्रीय पार्क एवं वन्य जीव संरक्षण,
Topic,क्रिया,औसत,Abbreviation,ध्वनि,इनपुट तथा आउटपुट डिवाइस,फुटबाल,,
Topic,काल,क्षेत्रफल,Sentence,प्रकाश,मेमोरी,टेनिस,,
Topic,कारक,"घात, वर्गमूल तथा घनमूल",Noun,विद्युत,पर्सनल कंप्यूटर,क्रिकेट,,
Topic,विशेषण,ज्यामितीय आकृतियाँ,Pronoun,चुम्बकत्व,डिजाईन टूल्स तथा प्रोग्रामिंग भाषाएँ,एथलेटिक्स,,
Topic,प्रविशेषण,दशमलव भिन्नें,Adjective,आधुनिक भौतिकी,डेटा प्रतिनिधित्व और संख्या प्रणाली,विविध,,
Topic,"वर्ण, उच्चारण और वर्तनी",पाइप तथा टंकी के प्रश्न,Verb,विविध,सॉफ्टवेयर,,,
Topic,"लिंग, मुहावरे और लोकोक्ति",प्रतिशत,Adverb,,डेटा संचार,,,
Topic,वाच्य,महत्तम समापवर्तक तथा लघुत्तम समापवर्त्य,Preposition,,इंटरनेट,,,
Topic,वचन,बीजगणित,Conjunction,,माइक्रोसॉफ्ट विंडोज,,,
Topic,विराम-चिह्न,लाभ तथा हानि,Interjection,,माइक्रोसॉफ्ट ऑफिस,,,
Topic,अव्यय,संख्या पद्धति,Articles,,विविध,,,
Topic,वाक्य,संख्या श्रेणी,Tense,,,,,
Topic,संधि,समय तथा कार्य,Present Tense,,,,,
Topic,समास,समय तथा दूरी,Past Tense,,,,,
Topic,उपसर्ग और प्रत्यय,समय मापन,Future Tense,,,,,
Topic,पर्यायवाची शब्द,सरलीकरण,Phrases,,,,,
Topic,अनेक के एक शब्द,साझा,Prefixes,,,,,
Topic,विलोम शब्द,साधारण व चक्रवृद्धि ब्याज,Suffixes,,,,,
Topic,हिंदी भाषा का संक्षिप्त इतिहास,सारणीयन और लेखाचित्र,Punctuation,,,,,
Topic,निबन्ध – लेखन,स्टॉक व शेयर,Word often confuse,,,,,
Topic,अलंकार,,Modals,,,,,
Topic,छंद,,Miscellenous,,,,,
Topic,रस,,One word substitutions,,,,,
Topic,शब्द शक्ति,,PQRS,,,,,
Topic,गुण,,Direct indirect,,,,,
Topic,,,Improve the Sentences,,,,,
Topic,,,Fill in the blanks,,,,,
Topic,,,Cloze Passage,,,,,
Topic,,,Spotting Error,,,,,
Topic,,,Spellings,,,,,
Topic,,,Active/Passive,,,,,